Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
T3_CG43.final	31	3730904	671628	220507	71
T3_CG44.contigs	1414	3855127	46793	6256	70
T3_CG44.final	1	5553	5553	5553	55
T3_CG45.contigs	635	3875481	301315	67157	70
T3_CG45.final	81	3714598	301315	67618	71
T3_CG46.contigs	279	3789799	301374	122246	70
T3_CG46.final	52	3726724	301374	122246	71
T3_CG47.contigs	669	3896140	301339	85307	70
T3_CG47.final	53	3725351	301339	92733	71
T3_CG48.contigs	664	3902347	487718	250165	70
T3_CG48.final	25	3731212	487718	250165	71
T3_WG01.contigs	5611	6409159	1177001	214862	70
T3_WG01.final	13	3970405	1177001	1164641	70
T3_WG02.contigs	5558	6835715	508581	78144	70
T3_WG02.final	43	4289603	508581	175661	70
T3_WG03.contigs	780	3923455	301285	114602	70
T3_WG03.final	52	3728376	301285	114602	71
T3_WG04.contigs	545	3859296	274667	89877	70
T3_WG04.final	62	3718857	274667	92041	71
T3_WG05.contigs	566	3865794	462634	110230	70
T3_WG05.final	56	3723665	462634	114688	71
T3_WG06.contigs	499	3867867	656040	244005	70
T3_WG06.final	24	3731244	656040	255449	71
T3_WG07.contigs	440	3838398	488583	196533	70
T3_WG07.final	35	3729672	488583	196533	71
T3_WG08.contigs	793	3965554	165347	59475	70
T3_WG08.final	104	3700729	165347	61553	71
T3_WG09.contigs	740	3931118	631075	192734	70
T3_WG09.final	27	3730933	631075	196178	71
T3_WG10.contigs	524	3842646	169989	53090	70
T3_WG10.final	100	3713368	169989	54495	71
T3_WG11.contigs	707	3926960	658901	551041	70
T3_WG11.final	15	3731362	658901	630931	71
T3_WG12.contigs	487	3834257	225374	38620	70
T3_WG12.final	130	3666867	225374	39248	71
T3_WG13.contigs	544	4320809	533664	213479	70
T3_WG13.final	35	4180967	533664	213479	70
T3_WG14.contigs	685	4332201	200981	55076	70
T3_WG14.final	114	4159977	200981	57829	70
T3_WG15.contigs	1290	4524500	729017	289310	69
T3_WG15.final	27	4179154	729017	289310	70
T3_WG16.contigs	901	4422612	608648	191598	70
T3_WG16.final	30	4185224	608648	196182	70
T3_WG17.contigs	6187	6707583	424521	104396	53
T3_WG17.final	35	4205872	424521	260492	43
T3_WG18.contigs	3465	5395220	424521	161300	49
T3_WG18.final	35	4206645	424521	220382	43
T3_WG19.contigs	2023	4274892	782349	287445	69
T3_WG19.final	21	3731074	782349	336827	71
T3_WG20.contigs	1333	4095804	611535	290968	69
T3_WG20.final	21	3731171	611535	290968	71
T3_WG21.contigs	1513	4188359	400019	112212	70
T3_WG21.final	47	3732702	400019	144124	71
T3_WG22.contigs	461	3771234	102268	18596	70
T3_WG22.final	204	3478724	102268	20869	70
T3_WG23.contigs	1284	4118341	601884	112445	70
T3_WG23.final	52	3736320	601884	129780	71
T3_WG24.contigs	1266	8701524	363542	67872	61
T3_WG24.final	131	3364656	105501	41536	69
T3_WG25.contigs	594	3880976	711879	176758	70
T3_WG25.final	32	3729131	711879	181296	71
T3_WG26.contigs	5122	6975681	341833	41542	70
T3_WG26.final	41	3827594	341833	166251	71
T3_WG27.contigs	5263	10749836	583286	31863	62
T3_WG27.final	28	3726954	583286	243449	71
T3_WG28.contigs	7279	11067143	678925	154658	61
T3_WG28.final	51	7791590	678925	259592	58
T3_WG29.contigs	731	3924200	426156	226473	70
T3_WG29.final	32	3738053	426156	226473	71
T3_WG30.contigs	1422	4279095	149913	48947	70
T3_WG30.final	109	3835140	149913	54413	70
T3_WG31.contigs	1670	4204479	988729	401162	70
T3_WG31.final	16	3769181	988729	403306	71
T3_WG32.contigs	3755	5324482	237473	33588	71
T3_WG32.final	118	3981737	237473	45887	71
T3_WG33.contigs	1117	3938142	98636	16527	70
T3_WG33.final	1	43742	43742	43742	64
T3_WG34.contigs	269	3791431	376413	193190	70
T3_WG34.final	35	3728777	376413	193190	71
T3_WG35.contigs	5842	9182665	326393	59912	62
T3_WG35.final	102	6196723	326393	89031	59
T3_WG36.contigs	340	3803078	394612	88582	70
T3_WG36.final	65	3719822	394612	88582	71
T3_WG37.contigs	751	3935034	516965	309826	70
T3_WG37.final	22	3729163	516965	309826	71
T3_WG38.contigs	4770	6910083	565010	132681	58
T3_WG38.final	45	5153049	565010	200229	54
T3_WG39.contigs	2967	11892177	705083	19049	63
T3_WG39.final	13	2974228	705083	431239	69
T3_WG40.contigs	989	4001566	679463	308243	70
T3_WG40.final	24	3730757	679463	308243	71
T3_WG41.contigs	610	3877603	301283	117152	70
T3_WG41.final	55	3717561	301283	117152	71
T3_WG42.contigs	7430	7510752	1827230	463577	69
T3_WG42.final	8	4020886	1827230	684761	70
T3_WG43.contigs	444	3830810	386986	119687	70
T3_WG43.final	61	3723774	386986	119687	71
T3_WG44.contigs	331	3809155	631040	241615	70
T3_WG44.final	33	3728676	631040	262436	71
T3_WG45.contigs	565	3870818	892821	208506	70
T3_WG45.final	36	3730394	892821	208506	71
T3_WG46.contigs	693	3900538	410988	137606	70
T3_WG46.final	53	3721069	410988	137606	71
T3_WG47.contigs	627	3900517	865838	311246	70
T3_WG47.final	21	3730958	865838	311246	71
T3_WG48.contigs	440	3845963	501036	311501	70
T3_WG48.final	26	3729385	501036	311501	71
T2_CG47.contigs	12338	13823523	1306481	89870	54
T2_CG47.final	108	9572822	1306481	181242	52
